text,language
Hello, how are you?,English
Good morning!,English
Hi there!,English
I love programming.,English
What is your name?,English
Today is sunny.,English
See you later.,English
Have a nice day!,English
Thank you very much.,English
Can you help me?,English
I am learning AI.,English
Where is the nearest station?,English
Do you speak English?,English
I enjoy reading books.,English
Let's go to the park.,English
This is my favorite song.,English
Happy birthday!,English
What time is it?,English
I am feeling great today.,English
Nice to meet you.,English
I am hungry.,English
It's raining outside.,English
My name is John.,English
I am from India.,English
Can I ask you a question?,English
I like traveling.,English
Where are you from?,English
I am tired.,English
Do you like coffee?,English
I need some water.,English
I am watching a movie.,English
This is delicious.,English
I like music.,English
How old are you?,English
I am learning Python.,English
Let's play a game.,English
I am going shopping.,English
The weather is nice.,English
I love my family.,English
I am happy.,English
Please give me directions.,English
I like sports.,English
I am studying.,English
I like to swim.,English
I am reading a book.,English
Can you repeat that?,English
I like chocolate.,English
I am sleepy.,English
It is very hot today.,English
I am going to work.,English
Hola, ¿cómo estás?,Spanish
Buenos días!,Spanish
¡Hola amigo!,Spanish
Me llamo Juan,Spanish
Hoy hace sol.,Spanish
Nos vemos luego.,Spanish
Que tengas un buen día!,Spanish
Muchas gracias.,Spanish
¿Puedes ayudarme?,Spanish
Estoy aprendiendo IA.,Spanish
¿Dónde está la estación más cercana?,Spanish
¿Hablas español?,Spanish
Me gusta leer libros.,Spanish
Vamos al parque.,Spanish
Esta es mi canción favorita.,Spanish
¡Feliz cumpleaños!,Spanish
¿Qué hora es?,Spanish
Me siento muy bien hoy.,Spanish
Encantado de conocerte.,Spanish
Tengo hambre.,Spanish
Está lloviendo afuera.,Spanish
Mi nombre es Juan.,Spanish
Soy de España.,Spanish
¿Puedo hacerte una pregunta?,Spanish
Me gusta viajar.,Spanish
¿De dónde eres?,Spanish
Estoy cansado.,Spanish
¿Te gusta el café?,Spanish
Necesito agua.,Spanish
Estoy viendo una película.,Spanish
Esto es delicioso.,Spanish
Me gusta la música.,Spanish
¿Cuántos años tienes?,Spanish
Estoy aprendiendo Python.,Spanish
Vamos a jugar un juego.,Spanish
Voy de compras.,Spanish
Hace buen tiempo.,Spanish
Amo a mi familia.,Spanish
Estoy feliz.,Spanish
Por favor, dame direcciones.,Spanish
Me gusta practicar deportes.,Spanish
Estoy estudiando.,Spanish
Me gusta nadar.,Spanish
Estoy leyendo un libro.,Spanish
¿Puedes repetir eso?,Spanish
Me gusta el chocolate.,Spanish
Tengo sueño.,Spanish
Hace mucho calor hoy.,Spanish
Voy al trabajo.,Spanish
¿Puedes ayudarme con esto?,Spanish
Estoy emocionado.,Spanish
Bonjour, comment ça va?,French
Bon matin!,French
Salut!,French
Je m'appelle Pierre,French
Il fait beau aujourd'hui.,French
À bientôt!,French
Bonne journée!,French
Merci beaucoup.,French
Pouvez-vous m'aider?,French
J'apprends l'IA.,French
Où se trouve la gare la plus proche?,French
Parlez-vous français?,French
J'aime lire des livres.,French
Allons au parc.,French
C'est ma chanson préférée.,French
Joyeux anniversaire!,French
Quelle heure est-il?,French
Je me sens très bien aujourd'hui.,French
Enchanté de vous rencontrer.,French
J'ai faim.,French
Il pleut dehors.,French
Je m'appelle Pierre.,French
Je viens de France.,French
Puis-je vous poser une question?,French
J'aime voyager.,French
D'où venez-vous?,French
Je suis fatigué.,French
Aimez-vous le café?,French
J'ai besoin d'eau.,French
Je regarde un film.,French
C'est délicieux.,French
J'aime la musique.,French
Quel âge as-tu?,French
J'apprends Python.,French
Jouons à un jeu.,French
Je vais faire du shopping.,French
Il fait beau temps.,French
J'aime ma famille.,French
Je suis heureux.,French
S'il vous plaît, donnez-moi des directions.,French
J'aime faire du sport.,French
J'étudie.,French
J'aime nager.,French
Je lis un livre.,French
Pouvez-vous répéter cela?,French
J'aime le chocolat.,French
Je suis fatigué.,French
Il fait très chaud aujourd'hui.,French
Je vais travailler.,French
Pouvez-vous m'aider avec ça?,French
Je suis excité.,French
Hallo, wie geht es dir?,German
Guten Morgen!,German
Hi!,German
Ich heiße Max,German
Heute ist es sonnig.,German
Bis bald!,German
Schönen Tag!,German
Vielen Dank.,German
Kannst du mir helfen?,German
Ich lerne KI.,German
Wo ist der nächste Bahnhof?,German
Sprichst du Deutsch?,German
Ich lese gerne Bücher.,German
Lass uns in den Park gehen.,German
Das ist mein Lieblingslied.,German
Alles Gute zum Geburtstag!,German
Wie spät ist es?,German
Mir geht es heute sehr gut.,German
Freut mich, dich kennenzulernen.,German
Ich habe Hunger.,German
Es regnet draußen.,German
Ich heiße Max.,German
Ich komme aus Deutschland.,German
Darf ich dir eine Frage stellen?,German
Ich reise gern.,German
Woher kommst du?,German
Ich bin müde.,German
Magst du Kaffee?,German
Ich brauche Wasser.,German
Ich sehe einen Film.,German
Das ist lecker.,German
Ich liebe Musik.,German
Wie alt bist du?,German
Ich lerne Python.,German
Lass uns ein Spiel spielen.,German
Ich gehe einkaufen.,German
Das Wetter ist schön.,German
Ich liebe meine Familie.,German
Ich bin glücklich.,German
Bitte gib mir eine Wegbeschreibung.,German
Ich mag Sport.,German
Ich studiere.,German
Ich schwimme gern.,German
Ich lese ein Buch.,German
Kannst du das wiederholen?,German
Ich mag Schokolade.,German
Ich bin müde.,German
Es ist heute sehr heiß.,German
Ich gehe zur Arbeit.,German
Kannst du mir dabei helfen?,German
Ich bin aufgeregt.,German
नमस्ते, आप कैसे हैं?,Hindi
सुप्रभात!,Hindi
हैलो!,Hindi
मेरा नाम राहुल है,Hindi
आज मौसम अच्छा है,Hindi
जल्दी मिलेंगे!,Hindi
आपका दिन शुभ हो!,Hindi
धन्यवाद,Hindi
क्या आप मेरी मदद कर सकते हैं?,Hindi
मैं AI सीख रहा हूँ,Hindi
सबसे नज़दीकी स्टेशन कहाँ है?,Hindi
क्या आप हिंदी बोलते हैं?,Hindi
मैं किताबें पढ़ना पसंद करता हूँ,Hindi
चलो पार्क चलते हैं,Hindi
यह मेरा पसंदीदा गीत है,Hindi
जन्मदिन मुबारक!,Hindi
समय क्या हुआ है?,Hindi
आज मैं बहुत अच्छा महसूस कर रहा हूँ,Hindi
आपसे मिलकर खुशी हुई,Hindi
मुझे भूख लगी है,Hindi
बाहर बारिश हो रही है,Hindi
मेरा नाम राहुल है,Hindi
मैं भारत से हूँ,Hindi
क्या मैं आपसे एक सवाल पूछ सकता हूँ?,Hindi
मुझे यात्रा करना पसंद है,Hindi
आप कहाँ से हैं?,Hindi
मैं थका हुआ हूँ,Hindi
क्या आपको कॉफी पसंद है?,Hindi
मुझे पानी चाहिए,Hindi
मैं फिल्म देख रहा हूँ,Hindi
यह स्वादिष्ट है,Hindi
मुझे संगीत पसंद है,Hindi
आप कितने साल के हैं?,Hindi
